fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230922 013124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	977	TRUE	279523	0.199173964156187	0.878391895461827	3660	445	11981	516180000	1
20230922 015512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1854	TRUE	279523	0.107199828182114	0.425159673634917	4396	748	12479	505715000	2
20230922 020801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	767	TRUE	279523	0.223314264700981	0.561644328450784	2721	303	10476	479115000	3
20230922 021857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	731	TRUE	279523	0.140164410501369	0.3613410548307	1649	193	7092	359730000	4
20230922 022200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231	TRUE	279523	0.176339167200262	0.223190952073783	6063	479	8377	299215000	5
20230922 032333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4287	TRUE	279523	0.0322615547799505	0.557724912865087	2877	590	9057	435015000	6
20230922 035106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2845	TRUE	279523	0.0589663407263579	0.637452473454177	6419	127	13751	505470000	7
20230922 041123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1933	TRUE	279523	0.0144926212298451	0.894615426613018	7332	962	9908	340025000	8
20230922 042658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1654	TRUE	279523	0.141381801611977	0.649320403058082	6928	389	6126	315805000	9
20230922 043555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	876	TRUE	279523	0.255440973129822	0.709588130004704	5112	835	8796	416395000	10
20230922 044551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	732	TRUE	279523	0.114225356888375	0.970684184562415	2106	907	7848	400365000	11
20230922 050124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1214	TRUE	279523	0.162880370051949	0.328589582908899	1453	542	11423	514500000	12
20230922 050956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	876	TRUE	279523	0.238708437743015	0.833750097043812	4430	104	6608	337365000	13
20230922 053213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2313	TRUE	279523	0.080810519946157	0.249889967599884	5214	337	13363	497840000	14
20230922 055954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1836	TRUE	279523	0.0869505868817214	0.721106960102916	952	266	12724	572880000	15
20230922 061007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	440	TRUE	279523	0.287076304109418	0.765962839089334	535	800	14413	579810000	16
20230922 062348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1471	TRUE	279523	0.191099539295421	0.949253999190405	7891	675	10986	472745000	17
20230922 062957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	391	TRUE	279523	0.282500796838664	0.289558739615604	95	1023	5894	320250000	18
20230922 064935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1828	TRUE	279523	0.270575325337471	0.487351383985952	3465	48	14567	538685000	19
20230922 065932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	723	TRUE	279523	0.0468680585939437	0.475838327752426	5840	636	5317	230475000	20
20230922 073214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1533	TRUE	279523	0.101127839062211	0.614007582655326	989	613	14795	600635000	21
20230922 073631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	277	TRUE	279523	0.140925408725377	0.604118755111758	2	365	14872	399070000	22
20230922 075217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1081	TRUE	279523	0.131944475801631	0.814667259455591	899	657	14033	585270000	23
20230922 080647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	953	TRUE	279523	0.185053550172596	0.490385588595097	1471	701	14998	583835000	24
20230922 081604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	677	TRUE	279523	0.299483754132815	0.624279327271134	1997	622	14475	562555000	25
20230922 100317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4379	TRUE	279523	0.0168771288797363	0.544833418597935	27	648	14661	611660000	26
20230922 162431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9897	TRUE	279523	0.0109861642369195	0.628851788129958	1213	778	14177	571375000	27
20230922 190521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9589	TRUE	279523	0.0104019840629021	0.698837255118268	648	594	13045	582085000	28
20230922 205133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8353	TRUE	279523	0.0220724020321425	0.204061608857039	924	626	14457	583975000	29
20230922 210509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1429	TRUE	279523	0.250184214460431	0.424195890128891	231	57	12522	491400000	30
20230922 221437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2946	TRUE	279523	0.0399689553362798	0.986014779514866	794	646	14998	618835000	31
20230922 235130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8185	TRUE	279523	0.018089783274397	0.759070890256837	4279	642	14994	546070000	32
20230923 001142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	279523	0.0530172813463775	0.996856650198678	2	727	14998	603995000	33
20230923 002813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	927	TRUE	279523	0.0924293787913203	0.343271402043714	12	835	14998	596435000	34
20230923 003159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	279523	0.164694054487155	0.765782067373278	16	923	15000	4.27e+08	35
20230923 003544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196	TRUE	279523	0.217995707825438	0.236989405730253	10	782	14994	364350000	36
20230923 005043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	982	TRUE	279523	0.0751880920863709	0.631437026416061	16	658	14051	585690000	37
