fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230831 182058	-0.344283317326335	4205	1581	7	5	5	82195400	1
20230831 182352	-0.64737258652458	5680	1344	9	5	5	73354400	2
20230831 182647	-0.7357724103902	7001	2431	20	5	5	66252200	3
20230831 182946	-0.261585744156036	5018	1824	19	5	5	80047800	4
20230831 183312	-0.947481995684211	6994	645	14	5	5	66299800	5
20230831 183554	-0.124807943706401	6344	156	8	5	5	68418000	6
20230831 183916	-0.919052337198518	3003	1444	13	5	5	82076400	7
20230831 184255	-0.251723386484664	5373	347	13	5	5	77043400	8
20230831 184544	-0.576212055496871	6435	3129	11	5	5	69021400	9
20230831 184934	-0.442699168061372	7856	444	18	5	5	65261000	10
20230831 185217	-0.69492525260197	6221	1188	7	5	5	68401200	11
20230831 185408	-0.529419937413186	7490	1739	4	5	5	65570400	12
20230831 185754	-0.619694249504246	4689	777	15	5	5	82257000	13
20230831 190000	0.0310109451723597	2911	608	14	5	5	0	14
20230831 190300	-0.880538048245944	5963	2241	10	5	5	70894600	15
20230831 190448	0.0468806413700804	3247	307	19	5	5	0	16
20230831 190824	-0.619608285214973	2044	1020	19	5	5	84305200	17
20230831 191218	-0.817632089691551	1401	699	18	5	5	91334600	18
20230831 191726	-0.769805322590918	8	2	14	5	5	64418200	19
20230831 192057	-0.840964559444837	2237	1113	20	5	5	82611200	20
20230831 192251	-0.821379556250754	1541	760	4	5	5	84197400	21
20230831 192635	-0.813775873574979	4991	550	19	5	5	81366600	22
20230831 193103	-0.888932154719851	491	243	15	5	5	93406600	23
20230831 193237	-0.907778598707109	484	241	3	5	5	78009400	24
20230831 193653	-0.885303041429075	862	430	20	5	5	94883600	25
20230831 193827	-0.302639591042619	7511	3176	3	5	5	66431400	26
20230831 194447	-0.868352676950568	23	9	20	5	5	53236400	27
20230831 194849	-0.8559238823372	853	418	14	5	5	94778600	28
20230831 195314	-0.663385896584508	645	312	16	5	5	95419800	29
20230831 195536	-0.949749254519894	4125	2062	6	5	5	82377400	30
20230831 195950	-0.999317499647523	710	340	16	5	5	95386200	31
20230831 200408	-0.795280222672563	698	341	16	5	5	95481400	32
20230831 200742	-0.998988860794396	1846	922	13	5	5	85093400	33
20230831 201312	-0.680053504153104	1054	2	17	5	5	90043800	34
20230831 201449	-0.437728817000677	4793	2396	3	5	5	72987600	35
20230831 201749	-0.754829460887975	4176	2086	20	5	5	82448800	36
20230831 202159	-0.365531969745176	572	285	14	5	5	94539200	37
20230831 202330	0.0992767939381923	483	239	14	5	5	0	38
20230831 202804	-0.504138341768511	2345	73	15	5	5	89296200	39
20230831 203212	-0.483208628890826	639	318	13	5	5	95377800	40
20230831 203702	-0.91607604473137	890	434	16	5	5	95860800	41
20230831 203911	-0.733520623287393	3609	1	5	5	5	82359200	42
20230831 204412	-0.999545453353673	3623	236	20	5	5	83455400	43
20230831 204857	-0.444768892425861	748	288	15	5	5	96254200	44
20230831 205139	-0.402074502517984	1682	171	6	5	5	93678200	45
20230831 205428	-0.196325505343564	7999	3997	20	5	5	68906600	46
20230831 205925	-0.722275319372701	1517	229	14	5	5	94263400	47
20230831 210500	-0.427550987110249	1559	113	14	5	5	92533000	48
20230831 210906	-0.405442039704303	611	304	8	5	5	96524400	49
20230831 211226	-0.999686588278377	8000	3999	7	5	5	68903800	50
20230831 211621	-0.596880904541596	1819	240	8	5	5	92866200	51
20230831 211823	-0.38500787412115	603	292	3	5	5	78009400	52
20230831 212154	-0.999638849726066	2576	203	7	5	5	90011600	53
20230831 212600	-0.926822935774146	666	330	10	5	5	95137000	54
20230831 212903	-0.999932579901546	5268	2632	20	5	5	76941200	55
20230831 213535	-0.400236282534072	5791	1	20	5	5	69962200	56
20230831 214016	-0.411808226214254	642	288	10	5	5	96122600	57
20230831 214441	-0.413376098517344	786	386	20	5	5	95029200	58
20230831 214902	-0.940255224912735	1524	311	20	5	5	95109000	59
20230831 215201	-0.425851728778367	1521	758	8	5	5	90479200	60
20230831 215503	-0.90954057401738	1507	217	8	5	5	94633000	61
20230831 215740	-0.423236390148455	2141	2	7	5	5	93252600	62
20230831 215909	-0.273240252539767	7999	1	3	5	5	63623000	63
20230831 220322	-0.713446787771535	1291	353	20	5	5	94766000	64
20230831 220553	-0.999763716868554	4738	4	7	5	5	82345200	65
20230831 220721	0.0988295483149103	8000	2128	11	5	5	0	66
20230831 220955	-0.377099251342906	4929	180	7	5	5	81823000	67
20230831 221258	-0.726390805643545	646	280	8	5	5	97423200	68
20230831 221615	-0.734653433970202	625	312	9	5	5	95828600	69
20230831 221858	-0.70838130950406	700	258	7	5	5	97343400	70
20230831 222136	-0.927230631894749	7998	3998	20	5	5	68905200	71
20230831 222438	-0.704924202037799	688	234	8	5	5	96131000	72
20230831 222733	-0.741988308706041	640	320	7	5	5	97640200	73
20230831 223015	-0.371024195080072	5624	2812	20	5	5	73627400	74
20230831 223325	-0.723627167381588	1701	271	7	5	5	94095400	75
20230831 223651	-0.560786979686421	646	288	7	5	5	98488600	76
20230831 224030	-0.540964184625256	1296	268	7	5	5	95792200	77
20230831 224353	-0.422763945092251	2927	273	7	5	5	88260200	78
20230831 224731	-0.999197309763924	711	318	7	5	5	97356000	79
20230831 225102	-0.457455277640268	8000	4000	13	5	5	68891200	80
20230831 225514	-0.999829809422455	4654	1514	15	5	5	81382000	81
20230831 230104	-0.961391157425287	1182	280	15	5	5	95872000	82
20230831 230635	-0.569815485257744	669	298	15	5	5	94815000	83
20230831 231037	-0.300523011086792	6767	1529	15	5	5	67422600	84
20230831 231226	-0.999051940146861	7992	1	3	5	5	63623000	85
20230831 231607	-0.505230613110426	631	297	7	5	5	98173600	86
20230831 232140	-0.407488874034599	626	303	17	5	5	94767400	87
20230831 232510	-0.606988058211402	625	307	7	5	5	97848800	88
20230831 232836	-0.461564379843565	641	278	7	5	5	98522200	89
20230831 233355	-0.34090871204634	1960	279	20	5	5	92969800	90
20230831 233647	-0.999562233153061	8000	1733	20	5	5	65216200	91
20230831 233939	-0.99952301499599	1471	282	6	5	5	92656200	92
